City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Castro,BR,10/27/2021 2:02,-24.7911,-50.0119,57.49,93,95,6.53
172,Alta Floresta,BR,10/27/2021 2:01,-9.8756,-56.0861,70.5,98,66,2.21
173,Aranyosapati,HU,10/27/2021 2:02,48.206,22.2592,37.04,61,100,0.6
174,Floro,NO,10/27/2021 2:02,61.5996,5.0328,52.97,100,90,19.57
175,Joshimath,IN,10/27/2021 2:02,30.5667,79.5667,52.03,30,0,3.87
176,San Policarpo,PH,10/27/2021 2:02,12.1791,125.5072,82.96,81,100,9.93
177,Khorixas,NA,10/27/2021 2:02,-20.3667,14.9667,65.37,33,99,4.32
178,Lamu,KE,10/27/2021 2:02,-2.2717,40.902,77.5,88,39,8.12
179,Ust-Ishim,RU,10/27/2021 2:03,57.6935,71.1665,26.6,79,100,6.8
180,Lima,PE,10/27/2021 2:01,-12.0432,-77.0282,62.91,77,98,9.55
181,Bogorodskoye,RU,10/27/2021 2:03,56.55,37.8833,35.4,82,100,10.85
182,Komsomolskiy,UZ,10/27/2021 2:03,40.4272,71.7189,47.62,57,89,6.91
183,Boguchany,RU,10/27/2021 2:03,58.3814,97.4531,43.16,67,100,19.01
184,Cherskiy,RU,10/27/2021 2:03,68.75,161.3,-13.68,98,41,3.94
185,Thompson,CA,10/27/2021 2:03,55.7435,-97.8558,41.36,71,100,10.36
186,Bathsheba,BB,10/27/2021 2:03,13.2167,-59.5167,81.21,74,40,23.02
187,Ulan-Ude,RU,10/27/2021 2:03,51.8261,107.6098,28.29,86,58,0
188,Hobyo,SO,10/27/2021 2:03,5.3505,48.5268,80.11,76,58,7.76
189,Conceicao Da Barra,BR,10/27/2021 2:01,-18.5933,-39.7322,74.37,88,9,5.84
190,Ahipara,NZ,10/27/2021 2:03,-35.1667,173.1667,68.47,67,97,6.82
191,Kuloy,RU,10/27/2021 2:03,61.0305,42.4925,36.32,97,100,8.05
192,Bras-Panon,RE,10/27/2021 2:03,-20.9967,55.6782,71.22,73,4,6.73
193,Codrington,AU,10/27/2021 2:03,-38.2667,141.9667,73.08,45,44,19.62
194,Alofi,NU,10/27/2021 2:03,-19.0595,-169.9187,80.49,61,75,21.85
195,Vila,PT,10/27/2021 2:03,42.0304,-8.1588,48.94,62,98,3.24
196,Shupiyan,IN,10/27/2021 2:03,33.7167,74.8333,41.54,67,6,3.11
197,Turukhansk,RU,10/27/2021 2:03,65.8167,87.9833,21.43,92,100,16.93
198,Hamilton,US,10/27/2021 2:03,39.1834,-84.5333,47.77,83,1,0
199,Odweyne,SO,10/27/2021 2:03,9.4092,45.064,70.48,46,10,1.34
200,Alugan,PH,10/27/2021 2:03,12.2188,125.4808,82.89,81,100,9.55
201,East London,ZA,10/27/2021 1:59,-33.0153,27.9116,67.15,85,100,18.86
202,Hilo,US,10/27/2021 2:03,19.7297,-155.09,80.33,73,90,8.05
203,Moba,CN,10/27/2021 2:03,33.2288,105.0179,42.55,79,100,2.39
204,Elat,IL,10/27/2021 2:03,29.5581,34.9482,69.3,65,0,7.83
