City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
226,Bubaque,GW,79.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
227,Pahrump,US,76.24,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
228,Kavaratti,IN,81.72,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
230,Ballina,AU,68.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
236,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
238,Tezu,IN,68.22,overcast clouds,27.9167,96.1667,Circuit House
240,Hervey Bay,AU,85.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
241,Wanning,CN,78.22,broken clouds,18.8003,110.3967,Paradise Hotel
243,Caravelas,BR,72.45,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
251,San Patricio,US,72.82,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
252,Bengkulu,ID,79.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
253,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
254,Sambava,MG,73.65,broken clouds,-14.2667,50.1667,Melrose
256,Loandjili,CG,76.1,moderate rain,-4.7561,11.8578,Résidence ARCHANGE
258,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
259,Dapaong,TG,79.07,broken clouds,10.8639,0.205,Hotel Caroli
260,Manggar,ID,85.95,broken clouds,-2.8833,108.2667,Guest Hotel
267,Takoradi,GH,77.88,overcast clouds,4.8845,-1.7554,Raybow International Hotel
275,Nhulunbuy,AU,92.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
277,Isangel,VU,81.34,few clouds,-19.55,169.2667,Tanna Lodge
279,Nishihara,JP,78.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
280,Itamaraca,BR,80.65,few clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
281,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
282,Ranau,MY,77.65,broken clouds,5.9538,116.6641,The Second Room
283,Taree,AU,69.73,scattered clouds,-31.9,152.4667,All Seasons Country Lodge Taree
286,Callaguip,PH,80.6,clear sky,18.0714,120.4867,Pangil Beach Resort
288,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
291,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
294,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
297,Inhambane,MZ,69.46,few clouds,-23.865,35.3833,Oceano
298,Labuhan,ID,84.74,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
299,Sao Filipe,CV,80.55,overcast clouds,14.8961,-24.4956,Hotel Xaguate
300,Atar,MR,81.55,overcast clouds,20.5169,-13.0499,Oumou Elghoura
301,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
305,Eirunepe,BR,77.59,light rain,-6.6603,-69.8736,Atrás de você
309,Lahaina,US,85.24,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
310,Dahanu,IN,72.63,clear sky,19.9667,72.7333,Pearline Beach Villas
313,Barauna,BR,77.88,broken clouds,-5.08,-37.6167,Pousada Rancho do Sabiá
316,Makakilo City,US,82.15,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
319,Santiago,CL,74.86,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
320,Montijo,PT,69.24,broken clouds,38.7067,-8.9739,TRYP Montijo Parque Hotel
325,Saravena,CO,72.45,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
326,Ciudad Bolivar,VE,77.18,moderate rain,8.1222,-63.5497,Hotel Edi
327,Weligama,LK,76.37,scattered clouds,5.9667,80.4167,Weligama Bay Resort
332,Fukue,JP,69.12,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
340,Camopi,GF,73.47,overcast clouds,3.1655,-52.3158,La pousada
345,Hit,IQ,74.35,broken clouds,33.6416,42.8251,صالون زيرو
347,La Palma,US,76.75,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
350,Ceres,US,72.27,few clouds,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
352,Kasama,ZM,69.57,broken clouds,-10.2129,31.1808,Kalebalika Cottages
353,Pangkalanbuun,ID,84.15,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
356,Yala,TH,81.61,scattered clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
362,Ribeira Grande,PT,71.2,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
364,Mogadishu,SO,78.6,overcast clouds,2.0371,45.3438,Hotel Juba
365,Capim Grosso,BR,73.11,clear sky,-11.3811,-40.0128,Hotel Veloso
367,Buala,SB,85.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
370,Kieta,PG,81.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
371,Port Blair,IN,81.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
373,Kabugao,PH,80.47,scattered clouds,18.0217,121.1842,ACLC-BOYS DORMITORY
375,Sarangani,PH,83.1,overcast clouds,5.4033,125.4636,Ballistic Islet
376,Chino Valley,US,68.31,clear sky,34.7575,-112.4538,Primrose Inn & Suites
383,Ugoofaaru,MV,81.34,scattered clouds,5.6667,73.0,Ungoofaaru Inn
390,Tatawin,TN,69.06,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
392,Itaituba,BR,78.57,clear sky,-4.2761,-55.9836,Hotel Campos
396,Sainte-Marie,RE,68.16,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
397,Port Macquarie,AU,69.76,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
400,Jaffna,LK,80.51,heavy intensity rain,9.6685,80.0074,Green Grass Hotel & Restaurant
402,Noumea,NC,84.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
403,Iracoubo,GF,79.32,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
404,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
407,Lagoa,PT,70.03,overcast clouds,39.05,-27.9833,Casa Das Faias
411,Pandan,PH,81.61,overcast clouds,14.0453,124.1694,Bonifacio Lodge
412,Guerrero Negro,MX,67.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
413,Misratah,LY,71.53,overcast clouds,32.3754,15.0925,Almasa Hotel
415,Kalavai,IN,75.13,overcast clouds,12.7703,79.42,Hotel
418,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
421,Mackay,AU,94.68,clear sky,-21.15,149.2,International Lodge Motel
